OriginalFoodCode;OriginalFoodName;EnglishFoodName;EdiblePortion;FoodGroupIS1;FoodGroupIS2;0001;0002;0003;0004;0005;0006;0008;0009;0010;0011;0012;0013;0014;0015;0016;0017;0018;0019;0020;0021;0022;0023;0024;0025;0026;0028;0029;0031;0032;0033;0034;0035;0036;0037;0038;0039;0040;0041;0042;0044;0046;0137;0138
Fæðunúmer;Heiti;Enskt heiti;Ætur hluti;Fæðuflokkur;Undirflokkur;Prótein;Fita;Mettaðar fitusýrur;cis-Einómettaðar fitusýrur;cis-Fjölómettaðar fitusýrur;cis-Fjölómettaðar fitus. n-3 langar;trans-Fitusýrur;Kólesteról;Kolvetni, alls;Sykrur;Viðbættur sykur;Trefjaefni;Alkóhól;Steinefni, alls;Vatn;A-vítamín, RJ;Retinol;Beta-karótín;D-vítamín;E-vítamín, alfa-TJ;Alfa-tókóferol;B1-vítamín;B2-vítamín;Níasín-jafngildi;Níasín;B6-vítamín;Fólat, alls;B-12 vítamín;C-vítamín;Kalk;Fosfór;Magnesíum;Natríum;Kalíum;Járn;Sink;Kopar;Joð;Mangan;Selen;Flúor;cis-Fjölóm. fitus. n-6;cis-Fjölóm. fitus. n-3
;;;;;;g;g;g;g;g;g;g;mg;g;g;g;g;g;g;g;µg;µg;µg;µg;mg;mg;mg;mg;mg;mg;mg;µg;µg;mg;mg;mg;mg;mg;mg;mg;mg;mg;µg;mg;µg;mg;g;g
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0577;ÝSUFARS, hrátt;Haddock, emulsion, raw;100;8;3;11,3;0,5;0,1;0,1;0,2;0,1;;;7,9;;0,;;0,;2,5;77,9;3;3,;0,;0,;0,52;0,52;;;;;;;;;62,;149,;19,;896,;387,;0,6;0,3;0,19;;;;0,023;;
0578;GRÁSLEPPA, söltuð, hrá;Lumpsucker, female, salted, raw;60;8;4;6,8;12,8;2,7;7,0;2,1;1,9;;;0,;0,;0,;0,;0,;2,6;77,0;;;;;;;;;;;;;;;12,;84,;8,;921,;127,;;;;;;;;;
0579;GRÁSLEPPA, sigin, hrá;Lumpsucker, female, dried, raw;60;8;4;13,6;30,6;6,5;16,7;5,1;4,7;;;0;0;0;0;0;2,2;53,1;;;;;;;;;;;;;;;13,3;239;18,4;507;305;0,256;0,417;0,025;;;25,2;;;
0580;SKATA, kæst;Skate, fermented, raw;45;8;4;17,8;0,8;0,2;0,1;0,3;0,2;;;0,;0,;0,;0,;0,;7,2;74,2;;;;;;;;;;;;;;0,;19,;101,;27,;2860,;65,;;;;;;;;;
0581;SKATA, hrá;Skate, raw;45;8;1;16,8;5,0;1,0;0,7;1,8;1,5;;;0,;0,;0,;0,;0,;1,1;77,1;;;;;;;;;;;;;;0,;9,;169,;24,;184,;340,;;;;;;;;;
0582;HAMBORGARI, hrár, án brauðs;Hamburger, without bread, raw;100;7;2;20,2;15,0;5,9;6,0;0,6;0;0,5;60;0,8;0,;0,;0,;0,;1,2;70,1;;;;;0,28;0,28;0,06;0,14;9,1;4,2;;;;0,;10,;209,;24,8;79,8;247,;1,8;;;;;;;0,4;0,1
0583;HAMBORGARHRYGGUR, hrár;Pork, saddle, smoked, raw;100;7;3;16,6;14;6,9;5,1;1,0;0,01;0,08;61;0,;0,;0,;0,;0,;3,5;62,6;0;0,;0,;0;0,1;0,1;0,95;0,22;7,7;3,9;0,37;1;0,65;0,;7,;210,;28,;900;370,;1,1;2,6;0,053;1,1;0,013;6,5;0,02;0,92;0,08
0584;KJÖTPATE, bakað;Paté, meat, baked;100;7;8;13,0;22,6;;;;;;;4,3;;;;0,;2,2;57,8;6100;6100;0,;0,30;;;;;;;;;;0,;;;;840;;;;;;;;;;
0585;BRAUÐ, pylsubrauð;Bread, white;100;4;4;10;5;0,32;2,77;1,66;0;0;0;54;7,5;5,6;2,6;0,;1,5;27;4,5;4;6;0;0,5;0,5;0,12;0,12;1,6;0,9;0,06;31;0;0;62,;164,;34,;380;139,;0,7;0,6;0,17;1,3;0,48;4,7;0,01;1,1;0,55
0586;SMJÖRLÍKI, hrærismjörlíki;Margarine, for bread and cakes;100;10;5;0,1;80,7;39,8;22,0;14,1;0,1;0,6;0;0,;0,;0,;0,;0,;1,7;18,2;0;0;0;0;2,6;2,6;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;550,;15,;0,06;0,05;0,012;;0,012;;;12,6;1,5
0587;SMJÖRLÍKI, rúllusmjörlíki;Margarine, bakery;100;10;5;0,1;80;25,3;22,2;11,6;0;4,1;0;0,5;0,5;0;0,;0,;1,5;18,4;0;0;0;0;2,6;2,6;0,;0,;0,;0,;0,;0,;0,;0,;8,;13,;2,;550,;15,;0,06;0,05;0,012;;0,012;;;10,4;1,2
0588;BRAUÐ, hamborgarabrauð;Bread, white;100;4;4;11;7;0,45;3,88;2,32;0,;0;0;51;6;4,5;2,7;0,;1,5;26,8;0;0;0;0;0,53;0,50;0,17;0,09;1,4;1,0;0,053;32;0,;0,;62;164;34;330;139;0,85;0,82;0,13;1,3;0,48;4,7;0,01;1,55;0,78
0589;BRAUÐ, hafrabrauð;Bread, oat meal;100;4;4;9,3;2,7;;;;;;0;44,4;0,3;0,;3,6;0,;2,0;38,0;0;0,;0,;0,;;;;;;;;;0,;0,;;;;436,;;;;;;;;;;
0590;BRAUÐ, sojabrauð;Bread, soya flour;100;4;4;10,3;3,4;0,5;0,8;1,9;0,2;;0;42,7;0,3;0,;4,3;0,;2,1;37,2;;;;0,;;;;;;;;;0,;0,;;;;380,;;;;;;;;;;
0591;BRAUÐ, sólkjarnabrauð;Bread, with seeds;100;4;4;10,1;5,2;2,0;1,7;0,3;0,;;9;41,2;0,4;0,1;5,3;0,;2,6;36,6;38;36,;24,;0,3;0,3;0,3;0,205;0,089;4,2;2,5;0,147;58,;0,;0,;36,;195,;39,;464,;177,;1,28;0,9;0,22;2,0;1,2;4,1;0,08;;
0592;SMJÖRDEIGSHORN;Croissant;100;4;4;6,7;24,7;12,7;7,1;1,9;0;0,6;82;35,5;1;1;3,0;0,;2,1;28,0;16;11;60;0;0;0;0,18;0,16;3,8;2,0;0,11;73;0;0;80;130;26;365,;140;2,0;0,9;0,26;7,3;0,35;5,6;0,03;1,6;0,3
0593;PÍTUBRAUÐ, án fyllingar;Pita bread;100;4;4;8,0;1,0;0,17;0,11;0,54;0,;0;0;54,8;2;1;2,2;0,;1,9;32,1;0;0;0;0;0,038;0,038;0,267;0,097;1,4;1,0;0,034;24;0;0;86;97;26;425,;120;1,40;0,84;0,168;5;0,481;4,7;0,01;0,51;0,02
0594;BYGGHÝÐISMJÖL;Barley flour, bran enriched;100;4;1;8,9;1,7;0,3;0,1;0,8;0,1;;0;48,0;;0,;28,;0,;4,1;7,4;0;0,;0,;0,;0,64;0,25;;;;;;;0,;0,;45,;320,;117,;50,;680,;;;;;;;;;
0595;PITSUBOTN;Pizza, bread;100;4;4;11,2;12,8;5,8;4,9;0,9;0,;;44;43,7;;;2,6;0,;2,6;27,1;;;;;;;;;;;;;;;;;;320,;;;;;;;;;;
0596;KRYDDKAKA;Sponge cake with spice;100;4;6;5,0;10,8;3,2;5,4;1,1;0,;;25;60,3;23,5;22,6;1,6;0,;1,3;21,0;114,667;108,;80,;0,98;0,47;0,38;0,097;0,063;1,8;0,7;0,044;8,7;0,12;0,;36,;99,;18,;474,;79,;0,75;0,7;0,13;5,9;0,39;1,0;0,03;;
0597;SMJÖRDEIGSBOTN;Flaky pastry cake;100;4;4;6,9;33,4;12,2;14,6;3,5;0,;;;29,7;;;1,4;0,;1,7;27,0;;;;;;;;;;;;;0,;0,;;;;305,;;;;;;;;;;
0598;DÖÐLUBOTN;Cake, date;100;4;6;6,0;9,2;;;;;;;52,8;;;2,5;0,;3,5;26,0;;;;;;;;;;;;;;;;;;140,;;;;;;;;;;
0599;DÖÐLUKAKA;Cake, date;100;4;6;6,2;4,4;;;;;;;54,2;;;;0,;1,8;33,4;;;;;;;;;;;;;;;;;;210,;;;;;;;;;;
0600;EPLABAKA;Apple pie;100;4;6;2,6;8,5;4,3;2,3;1,5;0;0,06;0;33,7;18,2;13,2;1,9;0;1,1;52,2;1,14167;0;13,7;0;0,51;0,51;0,029;0,018;0,6;0,3;0,023;3,6;0;3,0;15,9;29,9;10,9;294;98;0,34;0,19;0,06;0,4;0,16;0,6;0,01;1,3;0,16
0601;FURSTAKAKA;Cake, furstakaka;100;4;6;7,4;22,7;;;;;;;55,9;;;1,4;0,;2,3;10,4;;;;;;;;;;;;;;;;;;275,;;;;;;;;;;
0602;GRÁFÍKJUKAKA;Cake, fig;100;4;6;6,5;20,3;;;;;;;49,1;;;1,7;0,;2,2;20,2;;;;;;;;;;;;;;;;;;337,;;;;;;;;;;
0603;HJÓNABANDSSÆLA;Cake, hjonabandssaela;100;4;6;5,7;16,9;7,2;5,8;2,2;0;0,1;30;58,2;27,5;26,8;2,5;0,;1,5;16,6;17,9083;17,6;3,7;0,1;1,38;1,26;0,08;0,057;1,6;0,5;0,035;11;0,11;0;94;174;29,5;224,;139;2,5;1,05;0,20;4,8;0,72;2,9;0,02;1,9;0,3
0604;HNETUKAKA;Cake, nut;100;4;6;6,4;30,1;;;;;;;45,5;;;1,6;0,;2,3;14,1;;;;;;;;;;;;;;;;;;305,;;;;;;;;;;
0605;HRÍSTERTA;Cake, hristerta;100;4;6;7,0;20,9;;;;;;;54,9;;;0,6;0,;1,8;14,9;;;;;;;;;;;;;;;;;;328,;;;;;;;;;;
0606;HUNANGSKAKA;Cake, honey;100;4;6;6,6;12,2;;;;;;;67,6;;;1,2;0,;1,6;10,8;;;;;;;;;;;;;;;;;;203,;;;;;;;;;;
0607;KÓKOSKAKA;Cake, coconut;100;4;6;6,8;31,4;;;;;;;46,7;;;5,5;0,;1,8;7,8;;;;;;;;;;;;;;;;;;242,;;;;;;;;;;
0608;KÓKOSFORMKAKA;Cake, coconut;100;4;6;6,3;19,0;;;;;;;47,6;;;0,8;0,;1,3;25,0;;;;;;;;;;;;;;;;;;310,;;;;;;;;;;
0609;BRÚNTERTA (brún lagkaka);Cake, brúnterta, brown;100;4;6;6,0;22,5;6,65;4,86;1,86;0,05;1,80;;53,8;;;1,3;0,;1,3;15,1;;;;;;;;;;;;;;;;;;340,;;;;;;;;;1,39;0,47
0610;VÍNARTERTA;Cake, vínarterta, yellow;100;4;6;5;9,6;3,6;;;;;;54,2;20;16,3;1,2;0,;2,8;27,2;;;;;;;;;;;;;;;;;;300;;;;;;;;;;
0611;MARENSBOTN;Meringue;100;4;6;4,4;0,;0,;0,;0,;0,;0;0;93,0;93,0;93,0;0,;0,;0,6;2,0;0;0;0;0;0;0;0;0,16;1,1;0;0;1;0,;0,;6;5;4;70;64;0;0;0,06;;;9;;0;0
0612;MASSARÍNUKAKA;Cake, massarinukaka;100;4;6;7,4;17,6;;;;;;;51,9;;;0,9;0,;2,7;19,3;;;;;;;;;;;;;;;;;;166,;;;;;;;;;;
0613;MÖNDLUKAKA;Cake, almond;100;4;6;4,80;9,8;2,50;2,48;1,12;0,02;0,4;;58,8;36,8;35,8;1,46;0,;1,3;22,4;19,4083;19,4;0,1;0,1;0,79;0,79;0,044;0,064;1,4;0,4;0,027;8,9;0,19;0,1;20,3;262;9,6;239;92,6;0,529;0,288;0,041;7,3;0,22;5,6;0,02;0,83;0,29
0614;PIPARKÖKUR;Cookie, pepper;100;4;5;6,5;15,0;5,6;6,9;1,7;;;15;71,4;33,8;33,8;2,3;0,;1,8;3,0;123,833;123,;10,;1,0;1,5;1,5;0,08;0,18;4,6;3,7;0,07;9,;0,;0,;25,;69,;23,;500;153,;2,8;0,9;;;;1,;;;
0615;RANDALÍNUKAKA;Cake, randalinukaka;100;4;6;5,2;10,9;5,3;2,9;1,9;0;0,1;47;54,0;36,3;34,5;1,7;0;1,4;26,1;30,7917;30,0;9,5;0,16;1,29;1,29;0,041;0,081;1,3;0,4;0,037;12,8;0,25;10,2;194;193;14,3;251;132;0,63;0,47;0,09;0,9;0,24;4,3;0,01;1,7;0,20
0616;RÚLLUTERTA, brún;Cake, cake roll, brown;100;4;6;6;18;9;4;1;;0,1;52;51;43;37;1;0,;2,4;21,6;119;116;34;0,55;2,8;2,8;0,041;0,078;1,11;0,34;0,025;15;0,16;0;11;53;7,0;235;58;0,52;0,29;0,036;4,2;0,18;3,2;;1;0,3
0617;RÚLLUTERTA, ljós;Cake, cake roll, yellow;100;4;6;7,1;22,4;;;;;;;47,6;;;0,9;0,;1,7;20,4;;;;;;;;;;;;;;;;;;250,;;;;;;;;;;
0618;SKÚFFUKAKA;Cake, skuffukaka;100;4;6;5,6;15,6;6,6;;;;;;53,2;20;14,8;1,5;0;2,2;21,9;;;;;;;;;;;;;;;;;;280;;;;;;;;;;
0619;TEBOLLUR;Cookie, tebolla;100;4;6;7,6;15,2;;;;;;;51,3;;;1,7;0,;2,6;21,7;;;;;;;;;;;;;;;;;;310,;;;;;;;;;;
0620;VANILLUHRINGIR;Cookie, vanilluhringir;100;4;5;7,7;29,9;;;;;;;51,8;;;1,5;0,;1,2;8,0;;;;;;;;;;;;;;;;;;245,;;;;;;;;;;
0621;HVEITIKÍM;Wheat germ;100;4;1;27,5;9,4;1,3;1,1;4,2;0,3;;0;31,5;15,7;0,;14,;0,;4,4;13,3;5,16667;0,;62,;0,;11,0;11,0;1,45;0,61;5,5;5,8;1,42;190,;0,;0,;41,;1000,;259,;5,5;1046,;5,;17,8;1,1;0,25;;3,0;0,14;4,0;0,2
0622;MAÍS, hrár;Sweetcorn, raw;36;4;1;4,1;2,4;0,4;0,7;1,2;0,;;0;21,7;1,7;0,;3,7;0,;0,5;65,2;20;0,;240,;0,;0,8;0,8;0,15;0,08;0,4;1,8;0,16;33,;0,;12,;4,;170,;39,;3,;306,;0,6;1,4;0,24;0,5;0,35;4,;0,03;;
0623;RÚGUR, heill/brotinn;Rye kernels, whole/cracked;100;4;1;8,6;2,5;0,4;0,2;1,2;0,2;;0;59,4;5,6;0,;15,9;0,;1,6;12,0;0,541667;0,;6,5;0,;1,5;1,15;0,370;0,170;3,4;1,7;0,284;69,;0,;0,;45,;330,;95,;3,8;460,;4,0;2,9;0,32;;3,7;1,5;0,06;;
0624;HRÍSGRJÓN, hvít, vítamínrík, hrá;Rice, parboiled, raw;100;4;1;7,4;0,3;0,1;0,1;0,1;0,;;0;81,6;0,;0,;0,7;0,;0,7;11,5;0;0,;0,;0,;0,07;0,05;0,61;0,035;1,7;5,;0,402;31,;0,;0,;10,;110,;35,;1,8;150,;1,2;1,7;0,20;2,2;3,9;7,7;;;
0625;RÚGMJÖL, sigtimjöl;Rye flour;100;4;2;6,2;2,2;0,3;0,2;1,1;0,1;;0;72,4;2,4;0,;7,5;0,;0,7;12,5;0,541667;0,;6,5;0,;1,5;1,15;0,28;0,13;;;;69;0,;0,;25,;360,;35,;1,;255,;1,3;1,2;;;;12,;;;
0626;HÖRFRÆ;Linseeds, raw;100;6;3;18,6;32,4;2,9;6,15;20,1;0;0;0;8,0;;0,;29,9;0,;4,0;7,1;0;0,;0,;0,;0,7;0,7;0,17;0,16;5,5;1,4;0,04;60,;0,;0,;210,;550,;350,;60,;740,;8,2;7,8;;;;28;;3,88;16,3
0627;SESAMFRÆ, án hýðis;Sesame seed, decorticated;100;6;3;21,9;51,0;6,83;19,2;22,3;0;0;0;7,8;;0,;12;0,;3,1;4,2;3,5;0,;42,;0,;2,53;2,53;0,722;0,085;4,5;4,5;0,146;97;0,;0,;65;776;347,;40,;407,;7,8;10,25;1,46;0,2;1,43;24,4;;21,9;0,39
0628;FRANSKAR VÖFFLUR;Cake, fronsk vaffla;100;4;6;4,2;33,7;;;;;;;56,6;;;;0,;1,2;4,3;;;;;;;;;;;;;;;22,7;61,9;16,4;293,;96,9;;;;;;;;;
0629;GLASSÚRKAKA;Cake, with icing;100;4;6;4,7;14,6;;;;;;;68,8;;;;0,;0,9;11,0;;;;;;;;;;;;;;;16,8;166,;16,3;259,;57,8;;;;;;;;;
0630;SMJÖRKAKA;Cake, smjorkaka;100;4;6;5,1;17,4;;;;;;;47,9;;;;;0,9;28,6;;;;;;;;;;;;;;;47,3;95,4;19,1;260,;120,;;;;;;;;;
0631;KLEINUHRINGIR, með súkkulaðihjúp;Doughnut, deep fried, w. chocolate;100;4;6;7,6;17,4;3,12;5,31;2,46;0,01;5,14;;49,0;;;1,1;0,;1,4;26,76;;;;;;;;;;;;;;0,;69,2;173,;21,1;253,;148,;;;;;;;;2,19;0,27
0632;TVÍBÖKUR, grófar;Rusk, wholemeal;100;4;4;13,8;7,9;2,33;2,08;0,81;0,01;0,3;0;59,8;4,3;2,2;6,7;0,;2,5;9,3;0;0;0;0;1,4;1,4;0,36;0,18;6,2;4,3;0,30;21,;0;0;77,9;264,;71,3;553,;290,;2,1;1,8;0,21;4,9;0,51;4,5;0,014;0,54;0,27
0633;ÁFIR;Butter milk;100;1;1;3,2;0,8;0,5;0,2;0,;0,;;3;4,5;4,5;0,;0,;0,;0,7;90,3;7,33333;7,;4,;0,007;0,02;0,02;0,033;0,256;;;;;;0,6;97,;86,;8,7;43,;142,;;;;;;;;;
0634;SVEPPIR, steiktir í jurtaolíu;Mushroom, fried in vegetable oil;100;5;5;2,5;8,0;1,1;3,7;2,8;0;0;0;2,1;0,4;0,;1,9;0,;0,9;84,3;0,825;0;9,9;0;0,7;0,7;0,07;0,22;4,3;3,9;0,03;10,5;0,;1,1;2,2;109;11;19;353;0,09;0,23;0,15;0,88;0,03;12;;;
0635;EGGALDIN, steikt;Aubergine, fried;100;5;2;1,4;7,5;1,9;2,5;2,5;0;0,2;1;3,4;3,4;0;3,7;0,;0,6;83,7;22,5833;16;79;0;0,26;0,26;0,01;0,01;0,2;0,07;0,06;22;0;0,7;14;40;16;28;256;0,4;0,2;0,01;0;0,12;8,2;;2,1;0,3
0636;KJÚKLINGARÉTTUR, með grænmeti, án rjóma, soðinn;Chicken dish with vegetables, without cream, boiled;100;16;3;11,2;5,3;1,4;1,7;1,2;0;0,08;42;3,0;2,1;0;1,5;0;1,7;77,4;94,6;21;883;0,06;0,6;0,6;0,07;0,10;5,6;4,1;0,21;11;0,16;7,3;13;127;22;333;302;0,55;0,50;0,08;1,5;0,09;7,9;0,02;;
0637;GEIRNYT, flak, hrátt;Rabbitfish, raw;100;8;1;21,3;1,3;0,3;0,2;0,4;0,4;;;0,;0,;0,;0,;0,;1,5;75,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0638;GRÁLÚÐA, flök, hrá;Greenland halibut, fillet, raw;100;8;1;14,1;12,9;2,9;5,0;3,8;3,7;;;0;0;0;0;0;0,96;73,2;5;5,;0,;11,4;2,20;2,20;0,04;0,04;3,9;0,7;0,50;;1,0;0,;5,9;186;21,1;62,8;328;0,085;0,31;0,011;;;48,3;;;
0639;GRÁSLEPPA, hrá;Lumpsucker, female, flesh, raw;100;8;1;6,3;7,6;1,6;4,0;1,2;1,1;;;0,;0,;0,;0,;0,;0,7;85,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0640;KJÖTPOTTRÉTTUR, með sósu, án rjóma, soðinn;Meat dish with sauce, no cream, boiled;100;16;3;15,2;5,2;1,9;1,8;1,0;0;0,1;44;2,6;1,5;0;1,1;0;2,2;74,3;18;8;120;0,08;0,5;0,5;0,24;0,15;4,8;2,8;0,2;7,2;1,1;1,4;15;150;25;490;340;1,3;2,0;0,14;1,4;0,06;5,1;0,02;;
0641;HROSSAFITA;Horse fat;100;10;3;0,;90,8;38,2;35,2;12,3;;;;0,;0,;0,;0,;0,;0,;8,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0642;HVANNARÆTUR, hráar;Angelica roots,raw;100;5;1;0,3;0,4;;;;;;0;16,6;;0,;;0,;1,1;81,6;;;;;;;;;;;;;0,;12,8;65,;90,;61,;42,;364,;;0,91;;;;;;;
0643;ÞORSKLIFUR, soðin;Cod liver, boiled;100;8;1;7,7;82;15;35;23;19;0,6;990;0,9;0;0;0;0;1,9;8,2;9200;9200;0;124;25;25;0,08;0,50;3,5;2,5;0,18;330;12;0;8,6;118;13;1170;153;4,2;1,4;0,4;590;;110;0,01;;
0644;LOÐNA, heil, hrá;Capelin, whole, raw;100;8;1;14,0;17,8;3,8;9,1;3,1;2,9;;;0,;0,;0,;0,;0,;1,7;66,5;;;;;;;0,;0,28;;1,1;;;;0,;;;;;;;;;;;;;;
0645;LOÐNUHROGN, hrá;Capelin, roe, raw;100;8;1;10,6;3,7;;;;;;;2,9;;0;0;0;2,5;80,4;;;;;;;;;;;;;;;38,0;216;96,0;619;94,5;0,285;1,55;0,042;;;29,9;;;
0646;NAUTAHJÖRTU, hrá;Beef, heart, raw;72;7;9;15,3;15,4;7,5;4,1;0,5;0,1;;150;0,7;0,;0,;0,;0,;0,9;66,9;6;6,;0,;1,;0,2;0,2;0,335;0,750;10,3;6,3;0,26;20,;10,0;2,;4,23;180,;17,7;95,;240,;3,95;1,31;0,31;1,8;0,032;14,;;;
0647;UNGNEYTALIFUR, hrá;Liver, calf, raw;100;7;9;21,0;2,8;0,8;0,5;0,7;0,2;;300;3,8;0,;0,;0,;0,;1,5;71,3;21141,7;20600,;6500,;0,25;1,0;1,0;0,18;2,15;19,7;15,0;0,90;1900,;60,;22,9;4,41;327,;16,8;77,0;295,;9,81;4,23;2,35;4,3;0,32;12,0;;;
0648;NAUTAMÖR;Beef suet;100;10;3;0,4;94,5;56,9;31,7;1,2;0,7;;94;0,;0,;0,;0,;0,;0,;5,2;0;0,;0,;;1,1;1,1;0,;0,;0,;0,;;;;0,;0,8;0,;0,4;14,2;4,;0,;0,;;;;;;;
0649;NÆPUR, hráar;Turnip, hráar;84;5;1;0,9;0,3;0,;0,;0,2;;;0;4,1;3,8;0,;2,8;0,;0,7;91,2;1,66667;0,;20,;0,;0,;0,;0,05;0,045;1,2;1,0;0,08;14,;0,;25,;50,;50,;8,;17,;283,;0,8;0,23;0,042;0,5;0,068;;;;
0650;LAMBAVAMBIR;Lamb stomach;100;7;9;12,9;1,15;;;;;;;0;0,;0,;0;0,;0,4;85,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0651;LAMBAÞINDAR, hráar;Lamb diaphragm, raw;100;7;9;18,7;6,87;;;;;;;0;0,;0,;0;0,;0,94;73,4;;;;;;;;;;;;;;;3,42;122;18,2;63;267;1,65;2,19;0,071;;;6,3;;;
0652;NAGGAR, svínasnitsel, steikt;Breaded minced pork, fried;100;7;8;14;13;6,4;4,7;0,9;0,01;0,1;;17;0;0;0;0;2,5;53,5;;;;;;;;;;;;;;;;;;600;;;;;;;;;;
0653;NAGGAR, Cordon Bleu, steiktir;Breaded minced pork w cheese, fried;100;7;8;17;14;6,9;5,1;1,0;0,01;0,1;;11;0;0;0;0;2,5;55,5;;;;;;;;;;;;;;;;;;600;;;;;;;;;;
0654;SKREIÐ, steinbítur;Catfish, dried, raw;100;8;2;73,8;4,4;1,0;1,4;1,5;1,4;;;0,;0,;0,;0,;0,;4,9;17,1;;;;;;;;;;;;;;0,;;960,;;;;1,5;;;;;;;;
0655;SKREIÐ, ýsa;Haddock, dried, raw;100;8;2;78,4;1,1;0,2;0,2;0,5;0,5;;;0,;0,;0,;0,;0,;4,6;16,0;;;;;;;;;;;;;;0,;;753,;;;;;;;;;;;;
0656;SKREIÐ, þorskhausar;Cod heads, dried, raw;100;8;2;59,4;2,0;;;;;;;0,;0,;0,;0,;0,;28,3;7,5;0;0,;0,;0,;;;0,47;1,04;;;;;;0,;8800,;4860,;180,;1300,;600,;56,;7,42;1,0;;;;;;
0657;SKREIÐ, þorskur;Cod, dried, raw;100;8;2;70,5;0,9;0,1;0,1;0,3;0,3;;;0,;0,;0,;0,;0,;10,9;15,7;0;0,;0,;0,;;;0,048;0,47;;;;;;0,;2600,;1970,;123,;567,;867,;4,7;3,10;0,8;;;;;;
0658;KJÖTPOTTRÉTTUR, með rjómasósu, soðinn;Meat dish, with cream sauce;100;16;3;16,1;13,5;6,7;3,9;1,2;0;0,5;72;3,8;1,4;0;0,5;0;1,9;64,8;79,9;76,4;42;0,15;0,46;0,45;0,25;0,17;4,9;2,8;0,20;6,4;1,2;1,2;28;166;23;420;310;1,3;2,1;0,13;2,2;0,05;5,6;0,02;;
0659;SVÍNABLÓÐ;Pig blood;100;7;9;18,4;0,2;;;;;;;0,4;0,4;0,;0,;0,;0,7;80,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0660;TINDASKATA, hrá;Starry ray, muscle, raw;45;8;1;17,1;0,9;0,2;0,1;0,3;0,3;;;0,;0,;0,;0,;0,;1,1;80,9;;;;;;;;;;;;;;0,;;;;;;;;;;;;;;
0661;ÝSULIFUR, hrá;Haddock liver, raw;100;8;1;7,6;58,1;11,5;25,4;17,2;16,6;;;1,1;0,;0,;0,;0,;0,5;32,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0662;ÞORSKUR, þunnildi, hrá;Cod, raw;100;8;1;16,9;0,7;0,2;0,2;0,3;0,3;;;0,;0,;0,;0,;0,;1,1;81,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0663;ÞÖRUNGAMJÖL;Seaweed, dried, ground;100;17;1;;;;;;;;;;;;;;;;;30,;;;;85;;;;;;;;;5900,;48,;;4100,;1600,;48,;2,1;1,0;;8,6;;;;
0664;SANDKOLI, hrár;Dab, fillet, raw;65;8;1;15,7;1,2;;;;;;60;0,;0,;0,;0,;0,;1,3;79,1;14,4;14,4;0,;1,5;0,4;0,4;0,103;0,084;2,3;2,3;0,257;5,;1,5;0;27,;182,;24,;75,;350,;0,3;0,46;0,17;30,;0,04;70,;;;
0665;ÞYKKVALÚRA, hrá;Lemon sole, fillet, raw;50;8;1;17,1;1,9;0,3;0,3;0,6;0,5;;50;0,;0,;0,;0,;0,;0,3;76,3;0;0,;0,;0,;0,;0,;0,09;0,08;6,7;3,5;0,296;11,;1,;0,;17,;200,;17,;95,;230,;0,5;;0,10;;;;;;
0666;ÝSA, ofnbökuð, m súrmjólkursósu;Haddock, roasted, milk sauce;100;16;4;16,4;11,0;2,7;4,8;2,6;0,2;0,2;50;1,3;1,3;0;0;0;2,6;69,6;36,25;35;15;0,5;1,6;1,6;0,04;0,09;4,0;1,2;0,3;10;1,4;0,1;146;227;27;584;327;0,18;0,82;0,03;130;0,02;28;0,13;1,6;1,0
0667;LÝSA, hrá;Whiting, raw;50;8;1;17,9;1,3;0,2;0,3;0,4;0,4;;44;0;0;0,;0,;0,;1,2;81,3;3;3,;0,;0,;0,23;0,23;0,05;0,05;5,3;2,;;;;0,;29,5;183,;;50,;370,;0,3;0,5;;;;;;;
0668;BLÁLANGA, hrá;Blue ling, raw;40;8;1;15,7;1,4;0,2;0,3;0,4;0,4;;;0;0;0;0;0;1,1;81,8;2;2;0;3,4;0,2;0,2;0,05;0,12;5,4;2,5;0,3;7;2;0;9;160;23;104;312;0,1;0,4;0;;;;;;
0669;SOJADRYKKUR;Soya drink;100;12;4;3,6;2,1;0,3;0,5;1,3;0;0;0;0,3;0,3;0;1,2;0,;1,6;91,2;0;0;0;0;0,74;0,74;0,06;0,27;0,63;0,11;0,07;19,;0,;0,;13,;47,;15,;20;120,;0,40;0,2;0,06;;0,1;1,3;;1,1;0,2
0670;SÚKKULAÐI, með ávaxtasykri;Chocolate, diet, with fructose;100;11;3;12,;34,;21,5;11,0;1,1;0;0,14;;47,6;;     35;0,4;0,;1,9;4,1;;;;;;;;;;;;;0,;0,;;;;;;;;;;;;;0,95;0,10
