OriginalFoodCode;OriginalFoodName;EnglishFoodName;EdiblePortion;FoodGroupIS1;FoodGroupIS2;0001;0002;0003;0004;0005;0006;0008;0009;0010;0011;0012;0013;0014;0015;0016;0017;0018;0019;0020;0021;0022;0023;0024;0025;0026;0028;0029;0031;0032;0033;0034;0035;0036;0037;0038;0039;0040;0041;0042;0044;0046;0137;0138
Fæðunúmer;Heiti;Enskt heiti;Ætur hluti;Fæðuflokkur;Undirflokkur;Prótein;Fita;Mettaðar fitusýrur;cis-Einómettaðar fitusýrur;cis-Fjölómettaðar fitusýrur;cis-Fjölómettaðar fitus. n-3 langar;trans-Fitusýrur;Kólesteról;Kolvetni, alls;Sykrur;Viðbættur sykur;Trefjaefni;Alkóhól;Steinefni, alls;Vatn;A-vítamín, RJ;Retinol;Beta-karótín;D-vítamín;E-vítamín, alfa-TJ;Alfa-tókóferol;B1-vítamín;B2-vítamín;Níasín-jafngildi;Níasín;B6-vítamín;Fólat, alls;B-12 vítamín;C-vítamín;Kalk;Fosfór;Magnesíum;Natríum;Kalíum;Járn;Sink;Kopar;Joð;Mangan;Selen;Flúor;cis-Fjölóm. fitus. n-6;cis-Fjölóm. fitus. n-3
;;;;;;g;g;g;g;g;g;g;mg;g;g;g;g;g;g;g;µg;µg;µg;µg;mg;mg;mg;mg;mg;mg;mg;µg;µg;mg;mg;mg;mg;mg;mg;mg;mg;mg;µg;mg;µg;mg;g;g
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0023;ÞORSKHROGN, hrá;Cod, roe, raw;100;8;1;25,0;0,94;0,13;0,14;0,27;0,25;0;330;1,6;0;0;0;0;2,04;71,7;79;79;0;12;6,2;6,2;0,37;0,50;5,1;0,6;0,32;12;10;24,5;8,2;410;10,6;96,8;230;0,657;4,27;0,085;104;;100;;0;0,30
0024;ÞORSKHROGN, niðursoðin;Cod, roe, canned;100;8;5;;;;;;;;;;;;;;;;;;;;;;0,34;0,55;;0,5;;;;;;;;;;;;;;;;;;
0025;HUMAR, hrár;Lobster, raw;28;8;6;17,3;0,4;0,10;0,10;0,17;0,14;0;93;0,;0,;0,;0,;0,;1,7;81,3;0;0,;0,;0,;1,5;1,5;0,01;0,02;4,8;2,0;0,21;17,;6,3;0,;73,2;213;48,8;307;292;3,79;1,22;0,22;51,0;0,11;65,3;0,84;0,02;0,14
0026;HÖRPUDISKUR, hrár;Scallop, muscle, raw;13;8;6;18,9;0,8;0,1;0,1;0,3;0,2;;45;0,;0,;0,;0,;0,;1,4;76,9;;;;;;;0,;0,05;2,5;1,0;0,166;20,;17,2;0,;;192,;;255,;;0,20;0,85;0,15;12,8;0,021;18,6;;;
0027;KARFI, hrár;Red-fish / ocean perch;50;8;1;17,1;3,9;0,48;1,03;0,61;0,46;;51;0;0;0;0;0;1,0;80,0;15;15,;0,;1,56;0,63;0,63;0,05;0,05;5,3;1,2;0,26;9;1;0,;7,75;174;21,1;69,2;261;0,184;0,336;0,020;3;0,008;62,9;0,02;0,08;0,50
0028;FISMJÓLK, með ávöxtum;Milk, cultured, low fat, Fismjólk;100;1;2;4,3;0,5;0,32;0,14;0,01;;;6;12,7;;;;;1;81,5;4,79167;4,6;2,3;0,004;0,01;0,01;;0,16;;;;;;;116;105;;;;;;;;;;;;
0029;AB - MJÓLK, létt;Milk, cultured, low fat;100;1;2;3,8;1,5;0,77;0,33;0,02;;0,06;6;3,7;3,7;0;0;;0,7;90,3;14,3667;13,8;6,8;0,01;0,03;0,03;0,04;0,17;0,9;0,097;0,048;4,4;0,49;0,78;128;106;10;48;156;0,035;0,4;0,010;11,2;0,010;1,6;0,01;;
0030;DREITILL, mjólkurdrykkur, D vítamínbættur;Milk, low fat, with vitamin D, Dreitill;100;1;1;3,4;1,5;0,88;0,39;0,03;0;0,06;6;4,5;4,5;0;0;;0,7;90,6;14,5833;14;7;0,5;0,035;0,035;0,04;0,16;0,9;0,097;0,040;5;0,46;0,78;114;95;10;48;156;0,035;0,4;0,010;11,2;0,010;1,83;0,01;0,02;0,01
0031;KOLMUNNI, hrár;Blue whiting, fillet, raw;44;8;1;18,1;0,8;;;;;;;0,;0,;0,;0,;0,;1,2;80,5;;;;;;;0,08;0,05;4,8;1,3;;;;0,;24;;;51;332,;1,0;;;;;;;;
0032;KRÆKLINGUR, hrár;Mussel, raw;17;8;6;10,5;2,6;0,33;0,19;0,81;0,59;0,01;38;3,5;;0,;0,;0,;1,3;82,5;30;30,;0,;0,;3,5;3,5;0,16;0,21;4,6;1,6;0,1;42,;10,2;0,;30,;145,;39,;582,;145,;3,4;9,32;0,388;140,;0,23;21,1;;0,08;0,72
0033;KÚFSKEL, vöðvi, hrár;Black quahog, muscle, raw;17;8;6;8,2;0,61;;;;;;;2,5;;0;0;0;2,7;86,0;;;;0;;;;;;;;;;0;62,9;118;73,3;516;149;5,30;0,84;0,19;;;43,1;;;
0034;LANGA, hrá;Ling, fillet, raw;40;8;1;19,8;0,2;;;;;;44;0,;0,;0,;0,;0,;1,1;79,2;3;3,;0,;0,;0,33;0,33;0,01;0,03;6,1;1,2;;;0,5;0,;28,;;;72,;360,;0,2;;;44;;37,;;;
0035;LITLI KARFI, hrár;Norway haddock, fillet, raw;35;8;1;19,7;2,7;0,5;1,0;0,6;0,6;;;0,;0,;0,;0,;0,;2,7;76,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0036;JÓGÚRTDRYKKUR, með ávöxtum og múslí;Yoghurt drink, with fruits and muesli;100;1;2;3,0;0,9;0,53;0,23;0,02;0;0,04;4;11,1;9;4;1;;0,7;83,3;8,64167;8,3;4,1;0,008;0,021;0,021;0,036;0,16;0,8;0,124;0,042;23;0,37;0,6;93;77;12;41;152;0,02;0,43;0,05;11,2;0,02;1,83;0,011;0,01;0,1
0037;ORKUMJÓLK, með súkkulaði, D vítamínbætt;Low fat milk with sugar, vitamin D added;100;1;1;3,6;2,4;1,4;0,6;0,05;0;0,1;10;11,2;11,0;      7,0;1,1;;0,7;81,0;22,9167;22;11;0,50;0,06;0,06;0,04;0,15;0,9;0,097;0,040;5;0,46;0,78;120;102;10;50;156;0,035;0,4;0,010;11,2;0,010;1,6;0,01;0,03;0,02
0038;OSTUR, Gullostur;Cheese, Gullostur;100;2;1;15;35;20,5;9,0;0,66;0,03;1,42;116;0;0;0;0;;2,7;47,3;335,167;322;158;0,30;0,81;0,81;0,050;0,34;3,9;0,38;0,24;90;1,65;0;490;380;20;670;152;0,38;2,47;0,070;15,0;0,048;21,9;0,01;0,40;0,26
0039;OSTUR, Ísbúi;Cheese, firm, Ísbúi;100;2;1;27;26;;;;;;;0;;0;0;;2,8;44;;;;;;;;;;;;;;;800;;;710;;;;;;;;;;
0040;LÚÐA, smálúða, hrá;Halibut, small, fillet, raw;35;8;1;19,4;1,59;0,25;0,36;0,34;0,25;0,02;49;0,;0,;0,;0,;0,;1,14;78,1;33;33;1;9;1,00;1,00;0,07;0,03;7,4;4,4;0,50;9;1,0;0,;12;388;28,4;61,5;535;0,128;0,487;0,0243;15,3;0,013;34,3;0,13;0,06;0,28
0041;LÚÐA, stórlúða, hrá;Halibut, big, fillet, raw;74;8;1;16,5;9,5;1,5;3,0;4,0;3,6;;60;0,;0,;0,;0,;0,;1,1;74,1;33,0833;33;1,;9,;0,7;0,7;0,09;0,04;8,3;5,0;0,422;12,;0,96;0,;4;260;18,0;46;408;0,08;0,266;0,013;34,9;0,007;42,2;0,050;0,93;3,1
0042;MAKRÍLL, hrár;Mackerel, raw;50;8;1;19,6;25,9;6,2;6,3;11,4;;;80;0,;0,;0,;0,;0,;1,2;53,3;90;90,;0,;12,5;0,64;0,64;0,14;0,35;11,5;;;;;0,;15,;;;70,;256,;0,75;0,10;;;;;;;
0043;RAUÐMAGALIFUR, hrá;Lumpsucker, male, liver, raw;100;8;1;8,4;34,3;;;;;;;0,6;;0,;0,;0,;1,0;55,6;;;;;;;;;;;;;;;4,7;200;11,4;116;181;2,05;2,61;0,59;;;119;;;
0044;RAUÐMAGI, hrár;Lumpsucker, male, raw;29;8;1;11,3;21,9;4,29;9,76;5,70;4,30;0,07;;0,;0,;0,;0,;0,;0,9;65,9;11;11,;0,;3,9;;;0,07;0,08;;2,0;;;;0,;7,9;146;15,8;124;219;0,456;0,61;0,05;50,;0,013;25;;0,43;5,11
0045;RÆKJA, soðin;Prawn, boiled;100;8;6;15,9;1,0;0,223;0,257;0,387;0,38;0;150;0,;0,;0,;0,;0,;2,4;81,7;1,4;1,4;0,;3,50;5,3;5,3;0,02;0,07;6,6;2,3;0,1;4;4,6;0,;40,6;165;24,8;597;61,1;0,20;0,85;0,15;12,8;0,021;18,6;0,32;0,01;0,38
0046;OSTUR, Mozzarella, 17% fita;Cheese, Mozzarella, 17%;100;2;1;30;17;;;;;;;0;;0;0;;2,8;50;;;;;;;;;;;;;;;900;;;710;;;;;;;;;;
0047;SALT, Miðjarðarhafssalt;Salt, from South Europe;100;13;1;0;0;;;;;;;0;;;;;97,8;2,2;;;;;;;;;;;;;;;47;;164;38100;;1,2;;0,;;;;;;
0048;SALT, Reykjanessalt;Salt, Icelandic, Reykjanes;100;13;1;0;0;;;;;;;0;;;;;96,3;3,7;;;;;;;;;;;;;;;87;;;37600;;0,6;;0,;;;;;;
0049;ÞORSKHROGN, soðin;Cod, roe, boiled;100;8;1;31;2;0,4;0,45;0,9;0,62;0;408;0;0;0;0;0;3;62;88;88;0;15;8;8;0,4;0,6;5;0,6;0,4;13;12;24;7;480;14;610;200;2;3;0,1;122;;24;0,01;;
0050;SÍLD, flök, hrá;Herring, fillet, raw;100;8;1;19,3;12,3;3,1;5,8;2,4;2,3;;65;0,;0,;0,;0,;0,;1,5;66,1;30;30,;0,;12,5;0,61;0,61;0,00;0,22;7,5;4,6;0,37;9;7,65;0,;38,;320,;26,;47,;317,;0,76;0,21;0,11;18,0;0,023;23,6;0,100;;
0051;SKARKOLI, hrár;Plaice, fillet, raw;35;8;1;15,2;3,3;0,7;0,8;1,3;1,2;0;54;0;0;0;0;0;1,07;81,4;4;4;0,;6,65;0,4;0,4;0,21;0,08;5,2;2,7;0,314;11;10;0,;23,2;172;17,8;77,8;275;0,113;0,514;0,015;15,3;0,013;38,2;0,13;0,32;1
0052;OSTUR, Ricotta;Cheese, Ricotta;100;2;1;9;6,5;;;;;;;0;;0;0;;2,5;82;;;;;;;;;;;;;;0;57;158;;;;0,11;;;;;;;;
0053;BEYGLUR;Bagels;100;4;4;9;1,5;0,3;0,8;0,2;0;0;0;60;2;1;3;;2;24,5;0;0;0;0;0,033;0,033;0,185;0,120;4,8;2,5;0,049;32;0;0;80;103;31;380;109;0,832;0,94;0,175;1,3;0,581;4,6;0,01;0,2;0
0054;SKÖTUSELUR, hrár;Angler, fillet, raw;55;8;1;15,8;1,1;0,18;0,12;0,43;0,39;;35;0,;0,;0,;0,;0,;1,1;84,0;80;80;;1;0,5;0,5;0,05;0,07;5,0;1,7;0,422;12;0,96;0,;29,0;195,;23,2;115,;366,;0,18;0,33;0,02;15,3;0,008;40,3;0,17;0,03;0,40
0055;BRAUÐ, ítölsk, Ciabatta;Bread, Italian, Ciabatta;100;4;4;9;2;0,4;0,5;0,6;0;0;;45;0,6;0,3;2;;1,3;40,7;;;;;;;;;;;;;;;;;23,6;100;;1,27;;;;;;;0,5;0,1
0056;SPÆRLINGUR, hrár;Norway pout, flesh, raw;45;8;1;18,5;1,0;0,2;0,2;0,4;0,4;;;0,;0,;0,;0,;0,;1,4;80,0;;;;0,;;;0,10;0,09;;0,9;;;;0,;;;;;;;;;;;;;;
0057;BRAUÐ, ítölsk, tómatbrauð;Bread, Italian, tomato bread;100;4;4;7,9;0,9;0,1;0,3;0,4;;;0;43,3;1,3;0;2,5;;2,0;43,4;;;;;;;;;;;;;;;;;23,6;100;;1,27;;;;;;;0,3;0,1
0058;STEINBÍTUR, hrár;Catfish, fillet, raw;50;8;1;16,2;3,3;0,59;0,70;0,91;0,64;;58;0;0;0;0;0;1,10;82,1;11;11,;0,;0,50;1,15;1,15;0,11;0,05;5,1;2,3;0,35;1,;2,2;0,;6,7;215;18,7;73,6;305;0,133;0,859;0,015;60,;;43,1;0,05;0,18;0,71
0059;UFSI, flök, hrá;Saithe / pollock, fillet, raw;50;8;1;18,1;0,85;0,15;0,18;0,30;0,29;0;49;0;0;0;0;0;1,2;80,7;4;4,;0,;0,84;0,6;0,6;0,09;0,16;4,7;1,2;;12;3,5;0;7,41;230;24,1;127,9;312;0,231;0,422;0,035;15,3;0,008;31,3;0,17;0;0,30
0060;ÝSA, flök, hrá;Haddock, fillet, raw;50;8;1;17,8;0,53;0,097;0,056;0,223;0,199;0,001;46;0,;0,;0,;0,;0,;1,0;81,7;2;2,;0,;0,7;0,36;0,36;0,03;0,04;5,7;2,2;0,31;9;2,;0,;7,8;201;21,1;85,0;290;0,087;0,286;0,011;191;0,008;38,8;0,17;0,017;0,202
0061;ÞORSKLIFUR, hrá;Cod liver, raw;100;8;1;4,4;51,3;9,6;22,0;14,5;12,0;0,37;800;3,9;0,;0,;0,;0,;0,58;37,4;8300;8300,;0;100;20;20;0,08;0,45;3,3;2,4;0,150;300;10,;0;7,;100,;8,;589,;130,;3,6;0,968;0,258;500,;;83,8;;2,0;12,5
0062;ÞORSKLIFUR, niðursoðin;Cod liver, canned;100;8;5;9,3;44,2;9,0;20,0;10,6;9,6;;;2,0;0,;0,;0,;0,;1,6;44,2;1440;1440,;0,;28,;;;0,05;0,73;3,2;2,5;0,15;300,;10,6;0,;10,;100,;;433,;130,;0,9;;;;;;;;
0063;BRAUÐ, ítölsk, meðalsamsetn.;Bread, Italian, average;100;4;4;8,5;1,3;0,2;0,3;0,4;0;0;0;45,2;0,7;0;2,6;;2,0;40,4;0;0;0;0;0,53;0,50;0,17;0,09;1,4;1,0;0,053;32;0;0;62;164;23,6;200;139;1,27;0,82;0,13;1,3;0,48;4,7;0,01;0,3;0,1
0064;ÞORSKUR, með raspi, hrár;Cod, breaded, raw;100;8;1;13,0;1,1;0,2;0,2;0,4;;;;15,1;;;;0,;1,0;70,1;;;;;;;0,17;0,07;;1,2;;;;0,;10;163;;115;291;0,79;;;;;;;;
0065;BRAUÐ, ítölsk, ólífubrauð;Bread, Italian, olive bread;100;4;4;7,7;1,5;0,2;0,4;0,4;0;0;0;42,7;0,5;0;2,5;;2,0;43,6;;;;;;;;;;;;;;;;;23,6;200;;1,27;;;;;;;0,3;0,1
0066;ÞORSKUR, flök, hrá;Cod, fillet, raw;45;8;1;18,0;0,54;0,093;0,056;0,22;0,19;;58;0;0,;0,;0,;0,;1,2;82,4;1,9;1,9;0;0;1,10;0,66;0,03;0,03;4,4;1,2;0,19;16,;0,8;0,;8,6;237;23,3;71,0;351;0,091;0,397;0,017;45;;28,0;0,02;0,018;0,20
0067;ÞORSKUR, soðinn;Cod, fillet, boiled;100;8;1;22,9;0,7;0,1;0,1;0,3;0,3;0;57;0;0;0;0;;1,5;75,9;;;;0,;;;0,01;0,03;;0,8;;;;;;;;;;;;;;;;;;
0068;ÝSA, ofnbökuð, m rjómasósu og grænmeti;Haddock, roasted, w cream and vegetables;100;16;4;12,8;9,8;5,5;2,4;0,4;0,2;0,4;50;2,5;1,9;0;1,0;0;2,0;72,2;131,667;80;620;0,4;0,6;0,6;0,04;0,09;3,5;1,2;0,24;19;0,9;7;99;205;23;400;320;0,24;0,63;0,05;87;0,07;20;0,10;;
0069;ÞORSKUR, steiktur;Cod, fillet, breaded, fried;100;8;1;21;6,2;1,5;1,9;2,0;0,4;0,1;52;0;0;0;0;0;2,4;72,3;;;;;;;0,02;0,05;;1,0;;;;;;;;;;;;;;;;;;
0070;FISKFARS, hrátt;Fish emulsion, raw;100;8;3;9,6;2,8;;;;;;;11,7;;;0,;0,;1,5;74,4;;;;;;;;;;;;;;;;;;;;;;;;;;0,03;;
0071;SÍLD, heil, söltuð, hrá;Herring, whole, salted, raw;100;8;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,26;;
0072;GAFFALBITAR, niðursoðnir;Herring, small pieces, canned, with salt and sugar;100;8;5;14;9;2,1;4,3;1,1;0,8;0;80;11;11;10;0;0;9;58,0;30;30,;0,;11;0,5;0,5;0,03;0,17;4,5;2,5;0,05;1;5,55;0;60,;51;9;2320;123,;0,7;;;30,;;;0,18;0,2;0,9
0073;RÆKJA, niðursoðin;Prawn, canned;100;8;5;24,;1,;0,2;0,2;0,4;0,4;;184;0,;0,;0,;0,;0,;2,8;72,2;0;0,;0,;0,;4,0;4,0;0,01;0,02;5,3;0,8;0,06;15;2,5;0,;115,;110,;22,;473,;100,;0,75;2,4;0,10;17,;0,04;21,;0,14;;
